,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4776,4,1.0,1.0,2.0,50.0,6,32,32
3170,2,1.0,1.0,1.0,75.0,3,12,0
4315,3,1.0,1.0,2.0,59.0,1,1125,4
1555,2,1.0,1.0,2.0,65.0,3,60,35
3780,4,2.0,1.0,3.0,160.0,4,65,13
3579,4,2.0,1.0,2.0,89.0,4,1125,54
4987,2,1.0,1.0,1.0,89.0,4,1125,73
4942,4,1.0,1.0,2.0,175.0,1,10,3
6099,2,0.0,1.0,1.0,70.0,3,1125,1
3954,2,0.0,1.0,0.0,40.0,2,15,6
4818,2,1.0,1.0,1.0,100.0,2,15,84
3245,1,1.0,1.0,1.0,56.0,2,1125,6
3567,4,3.0,2.0,3.0,235.0,2,1125,32
7050,4,2.0,1.0,2.0,65.0,7,1125,2
81,4,1.0,1.0,1.0,139.0,7,365,11
2692,2,1.0,1.0,1.0,65.0,2,1125,19
1833,1,1.0,1.0,1.0,55.0,30,305,58
5171,3,1.0,1.0,2.0,79.0,1,1125,0
5733,4,1.0,1.0,2.0,75.0,4,1125,22
4970,2,0.0,1.0,1.0,50.0,1,305,65
3617,5,2.0,1.0,3.0,140.0,3,18,67
6570,2,1.0,1.0,1.0,105.0,2,1125,2
6629,4,2.0,1.0,3.0,90.0,7,1125,0
4832,4,1.0,1.0,2.0,71.0,92,365,0
2009,8,4.0,4.5,4.0,990.0,4,14,3
3539,3,1.0,1.0,2.0,73.0,6,40,27
2975,5,3.0,2.0,3.0,160.0,2,1125,25
4642,4,1.0,1.0,2.0,95.0,3,1125,90
504,3,2.0,1.0,2.0,70.0,3,90,33
3175,2,1.0,1.0,0.0,58.0,2,364,19
371,2,1.0,1.0,2.0,90.0,14,365,9
1579,3,2.0,1.0,2.0,105.0,182,1124,2
1187,4,2.0,1.0,2.0,115.0,1,30,27
7872,2,1.0,1.0,1.0,73.0,3,1125,42
3048,2,1.0,1.0,1.0,79.0,2,1125,7
5956,2,1.0,1.0,1.0,99.0,1,4,30
1012,4,2.0,1.0,3.0,80.0,7,365,4
1812,6,3.0,2.0,6.0,270.0,7,30,62
5291,3,0.0,1.0,2.0,65.0,1,1125,6
553,3,1.0,1.0,1.0,102.0,1,60,420
2141,4,2.0,1.0,2.0,155.0,2,300,90
783,4,3.0,1.0,3.0,180.0,4,30,6
1994,4,2.0,1.0,3.0,90.0,6,15,7
1315,2,1.0,1.0,1.0,39.0,2,62,26
4543,2,1.0,1.0,1.0,105.0,30,1125,19
5188,4,2.0,1.0,1.0,75.0,2,1125,3
7889,2,1.0,1.5,1.0,50.0,5,1125,1
6521,3,1.0,1.0,2.0,100.0,3,1125,10
6804,4,1.0,1.5,2.0,62.0,3,30,8
6686,2,0.0,1.0,1.0,33.0,1,1125,3
5917,3,1.0,1.0,0.0,160.0,4,30,19
6461,2,0.0,1.0,1.0,50.0,15,1125,1
1641,2,1.0,1.0,1.0,99.0,2,365,328
805,4,1.0,1.0,2.0,55.0,3,30,123
2679,2,1.0,1.0,1.0,64.0,6,90,18
469,2,1.0,1.0,1.0,85.0,1,30,237
3874,4,2.0,2.0,2.0,250.0,4,14,14
161,3,1.0,1.5,2.0,79.0,3,60,81
6101,4,2.0,1.5,3.0,250.0,13,1125,14
4182,8,4.0,2.0,6.0,230.0,3,1125,23
4270,5,3.0,2.0,3.0,239.0,3,30,127
5399,2,0.0,1.0,1.0,80.0,3,1125,71
4621,3,1.0,1.0,1.0,60.0,2,10,11
4748,2,1.0,1.0,1.0,80.0,4,1125,22
1409,2,1.0,1.0,1.0,65.0,14,30,1
7187,2,1.0,1.0,1.0,65.0,3,1125,12
483,4,1.0,1.0,2.0,150.0,2,1125,21
1222,1,1.0,1.0,1.0,65.0,5,21,17
5227,2,1.0,1.0,1.0,250.0,1,1125,0
1874,4,2.0,1.5,2.0,120.0,4,1124,134
7549,3,1.0,1.0,2.0,99.0,28,360,42
3762,3,1.0,1.0,3.0,250.0,2,60,42
2819,4,2.0,1.0,3.0,155.0,3,30,9
4359,4,1.0,1.0,2.0,99.0,1,1125,370
2001,2,1.0,1.0,1.0,95.0,4,365,15
5281,4,2.0,1.0,3.0,132.0,3,21,22
5423,4,1.0,1.0,2.0,85.0,2,7,3
7962,4,1.0,1.0,1.0,120.0,2,1125,3
7615,5,3.0,1.5,4.0,190.0,1,1125,153
3591,3,2.0,1.0,2.0,63.0,3,200,79
125,4,1.0,1.0,2.0,70.0,3,20,34
2237,2,1.0,1.0,1.0,150.0,2,40,92
5878,2,1.0,1.0,1.0,70.0,3,1125,9
6194,4,1.0,1.0,2.0,60.0,2,1125,7
2275,4,1.0,1.0,2.0,85.0,5,120,109
3127,4,1.0,1.0,2.0,75.0,3,1125,0
1588,3,1.0,1.0,2.0,169.0,3,1125,88
6488,2,1.0,1.0,1.0,50.0,2,8,5
2265,6,2.0,2.0,3.0,100.0,6,1125,0
1151,2,1.0,1.0,1.0,38.0,7,330,22
6071,5,1.0,1.0,2.0,110.0,1,1125,84
244,3,2.0,1.0,2.0,85.0,5,30,54
1791,2,1.0,1.0,1.0,76.0,4,60,123
4827,2,1.0,1.0,1.0,55.0,1,10,20
6738,2,1.0,1.0,1.0,35.0,14,40,3
1136,2,1.0,1.0,1.0,69.0,5,1100,171
6077,2,1.0,1.0,1.0,57.0,2,21,3
7938,3,1.0,1.0,1.0,60.0,2,30,14
3293,4,1.0,1.0,2.0,60.0,5,1125,4
7109,4,1.0,1.0,1.0,65.0,5,1125,31
602,2,1.0,1.0,1.0,80.0,3,1125,102
4352,2,1.0,1.0,1.0,45.0,2,8,396
4240,4,1.0,1.0,0.0,90.0,3,1125,30
7519,6,2.0,1.0,3.0,80.0,1,1125,0
3759,2,0.0,1.0,1.0,45.0,3,1125,110
5385,5,3.0,1.0,4.0,130.0,10,13,1
5012,6,3.0,2.0,3.0,199.0,2,1125,18
5326,5,2.0,1.0,4.0,175.0,30,305,178
3849,3,1.0,1.0,3.0,110.0,7,30,0
5094,5,3.0,1.0,4.0,100.0,4,30,2
3675,2,1.0,1.0,1.0,59.0,7,120,1
7609,2,1.0,1.5,1.0,75.0,4,30,40
2738,2,1.0,1.0,1.0,75.0,3,365,69
6871,5,2.0,1.0,3.0,65.0,1,1125,32
7312,2,0.0,1.0,1.0,65.0,3,1125,15
637,4,1.0,1.0,2.0,100.0,4,365,68
5158,3,1.0,1.0,2.0,190.0,2,1124,82
628,6,4.0,2.0,5.0,190.0,6,1125,12
7056,2,0.0,1.0,1.0,53.0,1,1125,223
23,2,1.0,1.0,1.0,80.0,120,1125,1
4000,3,0.0,1.0,3.0,69.0,3,31,243
7465,4,1.0,1.0,2.0,100.0,3,1125,4
801,4,1.0,1.0,2.0,114.0,30,1125,16
4032,1,1.0,1.0,1.0,46.0,1,1125,451
3028,2,0.0,1.0,1.0,144.0,3,1125,1
110,3,2.0,2.5,1.0,160.0,2,60,15
604,1,1.0,1.0,2.0,146.0,90,360,4
6582,4,1.0,1.0,1.0,160.0,90,1125,19
6394,8,4.0,4.5,5.0,600.0,2,90,83
3669,5,2.0,1.0,2.0,199.0,2,180,199
7445,3,1.0,1.0,2.0,60.0,4,60,17
5080,6,2.0,2.0,3.0,150.0,4,1125,8
2045,2,0.0,1.0,1.0,167.0,3,365,5
7278,6,1.0,1.5,3.0,100.0,3,25,47
5581,4,2.0,2.0,3.0,525.0,3,365,27
2121,5,2.0,2.0,4.0,260.0,3,365,1
3117,2,0.0,1.0,1.0,43.0,6,30,16
3080,4,1.0,1.5,1.0,125.0,3,365,87
5037,1,1.0,1.0,1.0,40.0,5,25,12
7217,4,1.0,1.0,2.0,117.0,4,60,46
799,6,1.0,1.5,2.0,60.0,4,30,0
3659,2,1.0,1.0,1.0,70.0,4,100,7
1101,4,1.0,1.0,2.0,96.0,5,1125,9
5762,2,1.0,1.0,1.0,80.0,5,1125,9
571,6,4.0,2.0,4.0,185.0,2,30,56
2672,4,1.0,1.0,2.0,146.0,3,1125,46
4820,2,1.0,1.0,2.0,169.0,2,30,33
7964,6,3.0,1.0,4.0,178.0,4,1125,28
2709,4,2.0,1.0,3.0,130.0,2,1125,10
1792,2,1.0,1.0,0.0,150.0,5,1125,38
5020,3,0.0,1.0,2.0,58.0,3,30,86
5347,4,2.0,1.0,2.0,190.0,91,1125,1
432,1,1.0,1.0,1.0,38.0,10,60,59
6165,2,0.0,1.0,1.0,70.0,3,1125,0
470,3,1.0,1.0,2.0,100.0,5,14,231
1747,4,0.0,1.0,2.0,50.0,30,1125,9
976,4,1.0,1.0,2.0,100.0,2,90,32
1772,2,1.0,1.5,1.0,54.0,3,31,348
7633,2,1.0,1.0,1.0,87.0,3,30,6
5187,2,0.0,1.0,1.0,70.0,3,1125,44
4332,3,1.0,1.0,1.0,102.0,1,1125,4
1926,4,2.0,2.0,2.0,119.0,3,365,18
2881,2,1.0,1.0,0.0,47.0,3,1000,14
4156,6,3.0,1.0,3.0,139.0,6,1125,6
7419,2,1.0,1.0,1.0,69.0,2,15,141
4189,4,2.0,1.0,2.0,84.0,3,1125,21
2591,4,2.0,1.0,2.0,300.0,2,66,58
5089,2,1.0,1.0,1.0,39.0,3,31,1
717,5,2.0,1.0,2.0,200.0,4,30,17
1294,2,1.0,1.0,1.0,57.0,3,7,205
2417,1,1.0,1.0,1.0,85.0,3,14,38
1465,2,1.0,1.0,1.0,70.0,7,180,1
7954,4,1.0,2.0,2.0,217.0,3,365,1
6647,3,2.0,1.0,3.0,70.0,6,20,0
4024,5,2.0,1.0,4.0,95.0,4,365,33
5914,2,2.0,1.0,2.0,95.0,2,1125,2
2485,2,1.0,1.0,1.0,69.0,20,60,15
2927,8,3.0,2.0,4.0,260.0,4,1125,31
4653,6,2.0,1.0,2.0,170.0,4,31,106
6730,1,1.0,0.5,1.0,30.0,3,30,25
5157,2,1.0,1.0,1.0,100.0,3,20,0
3034,4,2.0,1.0,3.0,89.0,30,300,6
1442,4,3.0,2.0,3.0,290.0,5,21,1
6673,2,1.0,1.0,1.0,50.0,1,1125,8
488,4,2.0,1.5,3.0,269.0,2,60,5
6154,2,1.0,1.0,1.0,160.0,1,1125,221
7246,2,1.0,1.5,1.0,259.0,10,31,20
1726,2,1.0,1.0,1.0,500.0,50,1125,39
6939,2,1.0,1.0,1.0,60.0,4,15,2
2645,2,1.0,1.0,1.0,100.0,7,1125,0
3916,2,1.0,1.0,0.0,60.0,3,21,244
6564,2,1.0,1.0,1.0,50.0,21,1125,38
6841,2,1.0,1.0,0.0,120.0,2,1125,20
2564,2,1.0,1.0,1.0,55.0,5,40,6
1651,1,0.0,1.0,1.0,48.0,30,1125,88
3878,3,1.0,1.0,3.0,70.0,1,1125,0
1864,4,1.0,1.0,2.0,65.0,2,62,79
969,2,1.0,1.0,1.0,30.0,15,60,2
5351,4,2.0,1.0,3.0,175.0,6,1125,82
4626,3,1.0,1.0,2.0,150.0,30,305,1
5711,4,1.0,1.0,2.0,125.0,2,30,50
6313,2,0.0,1.0,1.0,40.0,4,10,5
3668,7,3.0,3.0,6.0,690.0,2,30,21
2227,2,1.0,1.0,1.0,66.0,2,14,123
7879,2,1.0,1.0,1.0,60.0,3,1125,2
5114,4,1.0,1.0,2.0,75.0,6,1125,1
4393,2,0.0,1.0,1.0,104.0,2,29,216
2538,6,2.0,1.0,2.0,95.0,2,1125,59
2209,2,1.0,1.0,1.0,68.0,1,1125,151
1130,6,2.0,1.0,2.0,120.0,7,30,7
179,6,2.0,1.0,4.0,115.0,9,45,9
5050,2,1.0,1.0,2.0,110.0,7,365,1
2660,4,1.0,1.0,0.0,50.0,30,305,165
5246,3,0.0,1.0,2.0,48.0,1,1125,136
3213,3,1.0,1.0,1.0,79.0,2,100,125
1679,1,1.0,1.0,1.0,50.0,3,1125,77
1606,4,1.0,1.0,4.0,105.0,3,30,79
4410,4,1.0,1.0,2.0,60.0,2,1125,2
5678,4,1.0,1.0,2.0,57.0,7,1125,0
7285,2,1.0,1.0,2.0,58.0,5,1125,24
231,6,1.0,1.0,3.0,70.0,10,120,6
1007,4,1.0,1.0,2.0,90.0,3,14,42
7292,2,1.0,1.0,1.0,31.0,3,1125,0
3360,2,1.0,1.0,0.0,69.0,30,305,3
2346,4,1.0,1.0,1.0,99.0,2,1125,16
1761,1,1.0,1.0,1.0,50.0,14,500,11
1150,1,1.0,1.0,1.0,30.0,1,7,0
3269,4,1.0,1.0,1.0,148.0,91,1125,8
7875,3,1.0,1.0,1.0,110.0,4,30,0
7019,2,1.0,1.0,1.0,60.0,2,365,16
2008,8,3.0,3.0,5.0,374.0,2,30,2
5844,3,1.0,1.5,3.0,50.0,1,3,7
1295,4,1.0,1.0,0.0,140.0,3,365,40
7135,2,1.0,1.0,1.0,100.0,1,1125,0
3019,3,2.0,1.0,2.0,108.0,3,7,110
5838,3,0.0,1.0,2.0,75.0,3,1125,160
453,2,1.0,1.0,1.0,160.0,1,1125,28
3476,6,3.0,2.0,3.0,177.0,4,14,13
3150,2,1.0,1.0,1.0,65.0,3,15,0
2552,2,1.0,1.0,0.0,98.0,3,28,18
6478,2,0.0,1.0,1.0,56.0,3,365,4
749,3,1.0,1.0,1.0,74.0,3,30,20
4136,2,0.0,1.0,1.0,90.0,3,15,158
3834,1,1.0,1.0,0.0,60.0,2,28,20
1545,2,1.0,1.0,1.0,75.0,3,1123,158
5531,4,2.0,1.0,0.0,120.0,3,30,35
3255,3,2.0,1.0,2.0,90.0,3,60,76
7377,2,1.0,1.0,2.0,55.0,3,7,25
7650,4,2.0,1.0,2.0,180.0,1,1125,0
6581,4,1.0,1.0,1.0,95.0,2,1125,51
6781,3,1.0,1.0,0.0,178.0,2,30,110
4847,3,1.0,1.0,2.0,65.0,2,30,1
7215,2,1.0,1.0,1.0,55.0,2,1125,124
5121,2,0.0,1.0,1.0,40.0,2,1125,25
4996,2,1.0,1.0,1.0,90.0,2,1125,18
1218,1,0.0,1.0,1.0,35.0,150,900,7
636,2,1.0,1.5,0.0,90.0,4,1125,22
7170,2,1.0,1.0,1.0,90.0,2,25,53
6720,2,0.0,1.0,1.0,58.0,3,1125,4
6241,2,1.0,1.0,1.0,45.0,3,1125,0
4861,1,1.0,1.0,1.0,30.0,90,365,16
101,3,2.0,1.0,2.0,130.0,5,30,50
6507,4,2.0,1.0,2.0,130.0,2,1125,100
3584,3,1.0,1.0,1.0,195.0,2,15,190
6155,2,1.0,1.0,1.0,50.0,1,1125,45
4906,2,0.0,1.0,1.0,80.0,3,30,142
1949,2,1.0,1.0,1.0,95.0,3,30,43
3032,2,1.0,1.0,2.0,105.0,30,1125,56
506,2,1.0,1.0,1.0,35.0,21,120,17
2311,3,2.0,1.0,2.0,55.0,2,10,150
1755,2,1.0,1.0,1.0,73.0,3,1125,96
5573,6,2.0,1.0,3.0,150.0,3,1125,143
5369,2,1.0,1.0,1.0,130.0,3,1125,88
2849,2,1.0,1.0,1.0,80.0,3,1125,33
7639,6,3.0,1.0,0.0,100.0,4,14,31
6442,2,1.0,1.0,2.0,90.0,9,30,21
7537,3,0.0,1.5,3.0,80.0,2,20,27
7294,2,1.0,1.0,1.0,43.0,7,16,0
1737,2,1.0,1.0,1.0,90.0,5,90,18
772,3,1.0,1.0,2.0,146.0,60,365,5
7995,2,0.0,1.0,1.0,55.0,150,1125,0
7753,3,2.0,2.5,3.0,160.0,2,1125,0
6353,4,1.0,1.0,1.0,69.0,3,25,20
7722,6,4.0,2.0,6.0,154.0,3,1125,62
4788,1,1.0,1.5,0.0,44.0,7,60,14
6863,3,1.0,1.0,2.0,60.0,1,1125,6
4917,3,1.0,1.0,2.0,90.0,1,1125,36
4326,6,3.0,1.0,4.0,160.0,3,1125,15
5180,2,1.0,1.0,1.0,125.0,4,20,35
1460,2,1.0,1.0,1.0,100.0,2,1125,9
5583,2,2.0,1.0,1.0,90.0,3,7,0
6535,4,2.0,1.0,2.0,80.0,7,28,0
5204,4,1.0,1.0,2.0,150.0,30,360,22
5980,3,0.0,1.0,1.0,90.0,1,1125,352
2785,16,3.0,2.0,3.0,250.0,1,1125,34
164,5,1.0,1.0,3.0,185.0,3,1125,117
3625,4,2.0,1.0,3.0,220.0,7,365,20
7341,4,1.0,1.0,2.0,80.0,3,1125,0
1871,4,1.0,1.5,2.0,90.0,2,365,60
414,2,1.0,1.0,1.0,70.0,7,1124,37
1593,2,1.0,1.0,1.0,99.0,3,60,9
5267,8,3.0,3.0,4.0,560.0,2,1125,27
588,3,2.0,1.0,2.0,115.0,7,20,47
5640,4,1.0,1.0,1.0,110.0,2,90,177
3205,2,1.0,1.0,1.0,83.0,30,305,141
4150,4,2.0,1.0,2.0,125.0,2,1125,29
2772,2,1.0,1.0,1.0,80.0,3,7,14
623,3,0.0,1.0,2.0,80.0,2,90,56
7915,4,0.0,1.0,2.0,55.0,5,1125,29
715,2,1.0,1.0,1.0,125.0,4,1125,112
3390,4,1.0,1.0,3.0,80.0,1,1125,19
3230,2,1.0,1.0,1.0,150.0,2,1125,50
2039,4,1.0,1.0,2.0,79.0,5,1125,18
4333,2,1.0,1.0,1.0,110.0,8,1125,50
745,3,1.0,1.5,2.0,80.0,3,365,194
4921,2,2.0,1.0,1.0,100.0,6,15,18
581,8,4.0,1.0,5.0,243.0,2,40,66
1795,2,1.0,1.0,1.0,90.0,2,30,135
4810,2,1.0,1.0,1.0,64.0,5,27,52
1681,2,1.0,1.0,1.0,100.0,5,365,31
362,2,1.0,1.5,1.0,45.0,7,24,0
3046,3,1.0,1.0,1.0,129.0,91,1125,5
6855,2,1.0,1.0,1.0,50.0,4,30,17
214,5,3.0,2.0,3.0,120.0,4,21,2
283,2,1.0,0.0,1.0,65.0,4,365,170
1552,8,4.0,4.0,4.0,434.0,2,30,290
3350,4,1.0,1.5,1.0,120.0,6,30,76
7269,2,0.0,1.0,1.0,69.0,3,30,3
2239,4,1.0,1.0,2.0,80.0,2,365,57
2866,4,1.0,1.0,1.0,200.0,5,70,0
5294,3,2.0,2.0,2.0,295.0,3,12,38
2254,3,1.0,1.0,2.0,85.0,3,10,34
2988,2,0.0,1.0,1.0,80.0,3,365,40
4033,7,4.0,1.0,4.0,230.0,3,15,70
7986,5,2.0,1.0,2.0,150.0,4,60,15
3974,5,3.0,1.0,0.0,110.0,5,21,13
3313,4,1.0,1.0,1.0,150.0,1,1125,19
6228,4,1.0,1.0,0.0,100.0,1,1125,24
3374,3,1.0,1.0,2.0,85.0,2,1125,142
6830,2,1.0,1.5,1.0,150.0,2,1125,0
3824,2,0.0,1.0,2.0,70.0,270,1125,25
3742,6,3.0,2.0,5.0,135.0,4,24,21
3785,2,1.0,1.0,1.0,75.0,7,1125,158
6949,2,1.0,1.0,1.0,122.0,2,45,100
7594,9,4.0,3.0,6.0,799.0,1,1125,60
5242,6,2.0,1.0,3.0,150.0,3,1125,11
1146,4,1.0,1.0,2.0,80.0,4,14,15
6055,2,1.0,1.0,1.0,100.0,3,1124,1
4241,2,1.0,1.0,1.0,46.0,3,1125,55
1414,6,3.0,2.5,3.0,276.0,1,15,81
4409,2,1.0,1.0,1.0,100.0,2,1125,84
5312,2,1.0,1.0,1.0,110.0,1,1125,0
1774,2,1.0,1.0,1.0,80.0,3,120,8
655,2,1.0,1.0,1.0,140.0,3,30,44
4083,6,4.0,1.0,4.0,175.0,3,60,37
5472,4,1.0,1.0,2.0,120.0,1,1125,0
5119,2,1.0,1.0,1.0,94.0,4,30,36
6184,5,2.0,1.0,3.0,190.0,3,1125,1
5602,2,0.0,1.0,1.0,60.0,3,1125,18
2440,2,1.0,1.0,1.0,100.0,1,15,68
5518,2,1.0,1.0,1.0,80.0,2,1125,17
6758,4,2.0,1.0,2.0,43.0,4,100,4
1396,4,1.0,1.0,2.0,345.0,4,1124,21
1903,4,2.0,1.0,2.0,120.0,3,30,89
3327,2,1.0,1.0,1.0,85.0,3,10,111
3667,3,1.0,1.0,1.0,135.0,3,1125,4
7988,4,0.0,1.0,1.0,98.0,10,365,45
2029,5,1.0,1.0,4.0,149.0,3,30,89
4256,2,1.0,1.0,1.0,60.0,6,1125,0
7576,3,1.0,1.0,2.0,50.0,14,15,6
2324,4,1.0,1.0,2.0,80.0,2,14,10
4212,1,1.0,1.0,2.0,35.0,2,15,14
1066,6,4.0,1.0,4.0,150.0,4,14,21
2232,2,1.0,1.0,1.0,58.0,2,30,21
1081,4,1.0,1.0,2.0,75.0,3,365,140
5893,2,1.0,1.0,1.0,32.0,2,15,156
2122,4,1.0,1.0,2.0,167.0,3,365,7
4387,2,1.0,1.0,1.0,120.0,4,1125,21
4423,4,2.0,1.0,1.0,100.0,4,1125,4
3589,4,2.0,1.0,2.0,95.0,3,20,7
4876,5,2.0,1.0,4.0,126.0,1,1125,17
7834,2,1.0,1.0,1.0,94.0,4,34,18
5038,4,2.0,1.0,2.0,130.0,5,1125,20
1266,1,1.0,1.0,1.0,40.0,1,7,7
5006,2,1.0,1.0,1.0,60.0,5,1125,13
7423,3,1.0,1.0,1.0,42.0,3,1125,1
3822,2,1.0,1.0,1.0,115.0,6,70,1
2025,7,4.0,2.0,4.0,700.0,7,30,13
5160,2,1.0,1.0,1.0,85.0,1,1125,0
7728,2,1.0,2.0,1.0,35.0,5,15,2
3816,3,1.0,1.0,2.0,134.0,2,15,7
6618,4,2.0,1.0,2.0,50.0,3,14,9
5360,3,2.0,1.0,2.0,70.0,7,30,0
4319,5,1.0,1.5,2.0,60.0,4,30,214
1934,2,1.0,1.0,0.0,72.0,10,200,28
4497,1,1.0,1.0,1.0,37.0,3,365,52
2367,4,2.0,1.0,4.0,110.0,3,40,37
6308,1,0.0,0.0,1.0,900.0,2,1125,5
3147,2,0.0,1.0,1.0,260.0,4,27,20
4413,4,1.0,1.0,0.0,110.0,4,1125,10
2491,2,1.0,1.0,1.0,45.0,2,1125,17
4479,2,1.0,1.0,1.0,130.0,2,1125,38
2091,4,1.0,1.0,2.0,110.0,3,30,75
5927,2,1.0,1.0,1.0,80.0,4,30,11
6584,2,0.0,1.0,1.0,60.0,3,21,223
1856,6,2.0,2.0,3.0,148.0,4,1125,10
3712,4,2.0,1.0,2.0,90.0,4,1125,21
2065,7,3.0,2.0,0.0,130.0,4,30,2
7845,2,1.0,6.5,1.0,25.0,1,365,116
7699,4,1.0,1.0,2.0,125.0,4,1125,11
5236,3,2.0,1.0,2.0,85.0,1,1125,2
4046,3,1.0,1.0,2.0,125.0,1,1125,54
7903,3,0.0,1.0,2.0,80.0,1,3,6
7663,4,2.0,1.0,2.0,165.0,2,9,82
4345,2,1.0,1.0,1.0,69.0,3,14,30
7852,4,1.0,1.0,2.0,125.0,2,1125,28
6644,2,0.0,1.0,1.0,50.0,4,1125,11
4685,2,1.0,1.0,1.0,72.0,20,21,19
1335,2,1.0,1.0,1.0,80.0,2,15,3
5745,2,1.0,1.0,1.0,49.0,1,1125,5
3133,2,1.0,1.0,2.0,60.0,14,100,4
899,3,1.0,1.0,2.0,60.0,7,15,2
2427,8,4.0,2.0,6.0,279.0,3,30,118
2586,2,0.0,1.0,1.0,115.0,4,1125,78
6388,2,1.0,1.0,1.0,48.0,6,1125,10
6854,1,0.0,1.0,1.0,40.0,5,1125,4
1274,1,1.0,1.0,1.0,57.0,30,310,12
5017,3,2.0,1.0,2.0,84.0,2,1125,24
7191,4,2.0,1.0,2.0,120.0,3,10,79
450,2,1.0,1.0,1.0,150.0,30,305,17
7768,6,3.0,2.0,4.0,225.0,4,1125,1
1799,2,1.0,1.0,0.0,70.0,2,10,34
6829,1,0.0,1.0,1.0,55.0,30,1125,17
2235,4,1.0,1.0,3.0,80.0,2,1125,13
243,6,1.0,1.0,1.0,40.0,1,730,18
5283,3,0.0,1.0,1.0,40.0,2,1125,0
6554,4,1.0,1.0,2.0,185.0,4,31,38
4243,3,2.0,1.0,2.0,280.0,4,1125,13
4357,2,1.0,1.0,1.0,100.0,2,20,60
4283,4,2.0,1.0,2.0,80.0,1,1125,0
1991,2,1.0,1.0,1.0,65.0,5,15,9
739,1,1.0,1.5,1.0,65.0,30,305,15
6078,1,1.0,1.5,1.0,30.0,5,30,1
4603,2,0.0,1.0,2.0,70.0,5,31,40
7596,2,0.0,1.0,1.0,38.0,3,1125,0
2422,7,2.0,1.0,5.0,245.0,1,1125,218
6971,2,2.0,1.0,2.0,90.0,90,200,0
1026,2,1.0,1.0,1.0,65.0,4,1125,93
1088,2,1.0,1.0,1.0,140.0,4,365,72
1416,2,1.0,1.0,1.0,79.0,2,30,113
6936,2,1.0,1.0,1.0,150.0,6,100,119
4762,3,1.0,1.0,2.0,50.0,2,1125,11
4048,3,0.0,1.0,1.0,55.0,1,1125,414
334,8,3.0,1.0,3.0,170.0,2,30,97
7071,5,3.0,1.0,4.0,150.0,7,21,7
4735,2,1.0,1.0,1.0,100.0,1,1125,9
3340,2,2.0,2.0,2.0,150.0,12,100,12
1031,4,2.0,1.0,3.0,100.0,4,30,11
3294,8,3.0,1.0,3.0,150.0,4,1125,56
7914,4,2.0,2.0,2.0,200.0,3,1125,0
1509,2,1.0,1.0,0.0,78.0,4,90,124
7479,4,2.0,2.0,2.0,650.0,5,1125,0
4985,3,1.0,1.0,1.0,150.0,3,1125,1
3292,6,1.0,1.0,3.0,150.0,2,1125,29
1554,1,1.0,1.0,1.0,50.0,2,21,52
1158,3,1.0,1.0,2.0,120.0,7,35,10
1314,2,1.0,1.0,1.0,24.0,1,20,155
4675,2,1.0,1.0,1.0,79.0,8,60,39
3532,1,1.0,1.0,1.0,45.0,3,30,31
3063,2,1.0,1.0,1.0,60.0,15,180,3
5107,4,1.0,1.0,2.0,115.0,30,305,151
1010,1,1.0,1.0,2.0,50.0,7,7,200
3092,4,1.0,1.0,2.0,92.0,5,10,73
1117,4,1.0,1.0,2.0,110.0,365,365,2
6965,2,1.0,1.0,0.0,70.0,4,120,294
7616,1,1.0,1.0,1.0,35.0,2,10,1
4438,3,0.0,1.0,2.0,90.0,10,120,5
4955,2,1.0,1.0,1.0,95.0,6,1125,3
6142,2,1.0,1.0,1.0,70.0,4,1125,7
5753,2,1.0,1.0,1.0,69.0,1,32,19
6409,2,0.0,1.0,1.0,42.0,3,1125,11
1920,3,1.0,1.0,2.0,85.0,5,1125,98
2448,2,1.0,1.0,1.0,70.0,4,1125,0
4178,4,1.0,1.0,2.0,62.0,2,1125,15
1560,2,1.0,1.0,1.0,85.0,3,21,15
4301,3,1.0,1.0,1.0,63.0,2,1125,12
4803,5,3.0,1.5,2.0,180.0,2,1125,14
444,6,2.0,1.0,3.0,69.0,30,45,9
2814,2,1.0,1.0,1.0,50.0,14,14,0
5984,2,1.0,1.0,1.0,65.0,5,1125,94
5108,2,1.0,1.0,1.0,99.0,2,30,16
3386,2,1.0,1.0,1.0,64.0,4,1125,2
4113,1,1.0,1.0,1.0,45.0,3,1125,237
1109,4,1.0,1.0,2.0,67.0,3,45,61
319,2,1.0,1.0,1.0,60.0,10,365,35
1944,4,1.0,1.0,1.0,95.0,1,1125,282
5810,2,1.0,1.0,3.0,52.0,1,1125,175
6873,2,1.0,1.0,1.0,34.0,1,1125,7
7791,4,0.0,1.0,2.0,80.0,1,1125,340
1366,2,1.0,1.0,1.0,60.0,2,1125,0
2355,4,1.0,1.0,2.0,90.0,2,1125,37
2293,4,2.0,1.0,2.0,110.0,5,1125,0
3860,6,2.0,1.0,4.0,199.0,3,15,18
909,2,1.0,1.0,1.0,50.0,3,13,8
1245,4,1.0,1.0,2.0,70.0,5,45,18
1001,1,1.0,1.0,0.0,41.0,2,80,404
5122,2,1.0,1.0,1.0,60.0,4,1120,76
6812,4,1.0,1.0,1.0,250.0,3,20,26
2556,3,1.0,1.5,1.0,165.0,2,1125,156
4018,4,1.0,1.0,2.0,119.0,4,1125,206
